	w	g	div
777	a4**-1*a0*a2**-1*a4*a5*a3**-1	a3*a4**-1*a5**-1*a1	False
778	a3*a0**-1*a5**-1*a1*a3**-1*a4	a3*a5**-1*a1*a2**-1	True
779	a3*a4**-1*a0*a1**-1*a5*a3**-1	a3*a5**-1*a1*a2**-1	False
780	a2**-1*a3*a0*a3**-1*a5*a3**-1	a3*a5**-1*a2**-1*a3	False
781	a3*a5**-1*a3*a0**-1*a2*a3**-1	a3*a5**-1*a2**-1*a3	True
782	a4*a0*a5**-1*a1*a5**2	a4*a0**2*a5**-1	True
783	a4*a0*a1**-1*a4**-2*a5	a4*a0*a1**-2	True
784	a4**2*a0**-1*a5**-1*a1*a4**-1	a4*a0*a1**-2	False
785	a4*a0*a1**-1*a5*a4**-2	a4*a0*a1**-2	True
786	a3*a4*a5**-1*a2*a0**-1*a4**-1	a4*a0*a1**-1*a2**-1	False
787	a4*a0*a2**-1*a4**-1*a5*a3**-1	a4*a0*a1**-1*a2**-1	True
788	a4*a0*a3**-1*a5*a2**-1*a4**-1	a4*a0*a3**-1*a1**-1	True
789	a4*a2*a5**-1*a3*a0**-1*a4**-1	a4*a0*a3**-1*a1**-1	False
790	a4*a0*a5*a4**-1*a1**-1*a4**-1	a4*a0*a4**-1*a1**-1	True
791	a4*a1*a4*a0**-1*a5**-1*a4**-1	a4*a0*a4**-1*a1**-1	False
792	a4*a5**-1*a1**2*a4*a5	a4*a0*a5**-1*a1	True
793	a4*a0*a5*a4**-1	a4*a0*a5**-1*a1**-1	False
794	a4*a0**2*a5**2*a4**-1	a4*a0*a5**-1*a1**-1	False
795	a4*a0*a2*a3*a4**-1*a5	a4*a0*a5**-1*a1**-1	False
796	a4*a0*a2*a3*a0**-1*a4**-1	a4*a0*a5**-1*a1**-1	False
797	a4*a0*a2**-1*a3**-1*a4**-1*a5	a4*a0*a5**-1*a1**-1	False
798	a4*a5**-1*a2*a3*a4**-1*a5	a4*a0*a5**-1*a1**-1	False
799	a4*a5**-1*a2*a3*a0**-1*a4**-1	a4*a0*a5**-1*a1**-1	False
800	a0*a5**-1*a1**-1*a4**-1*a5**2	a4*a0*a5**-2	False
801	a4*a0**-1*a5**-2*a1*a5	a4*a0*a5**-2	True
802	a0*a5**-1*a1**-1*a5**2*a4**-1	a4*a0*a5**-2	False
803	a3*a4*a2*a4**-1*a1**-1*a4**-1	a4*a1*a3**-1*a1**-1	False
804	a4*a1*a3**-1*a4*a2**-1*a4**-1	a4*a1*a3**-1*a1**-1	True
805	a4*a0*a1*a5*a1**-1*a4**-1	a4*a1*a4**-1*a1**-1	False
806	a4*a1*a2*a3*a1**-1*a4**-1	a4*a1*a4**-1*a1**-1	False
807	a4*a0*a5*a4**-1*a1**-1*a4**-1	a4*a1*a5**-1*a1**-1	False
808	a4*a1*a4*a0**-1*a5**-1*a4**-1	a4*a1*a5**-1*a1**-1	True
809	a4*a2*a0**-1*a3*a4**-1*a5**-1	a4*a1**-1*a2*a0**-1	True
