	w	g	rdiv	ldiv
164	a3*a4*a5**-1*a1*a5*a3**-1	a3*a4*a0*a5**-1*a2**-1	True	False
165	a3*a0*a2*a3*a0**-1*a3**-1	a3*a0*a2*a5**-1*a2**-1	True	False
166	a3*a0*a2*a3*a0**-1*a3**-1	a3*a0*a3*a5**-1*a2**-1	True	False
167	a2*a4**-1*a0*a5*a4*a2**-1	a2*a4**-1*a5*a1*a3**-1	True	False
168	a3*a0*a4*a0**-1*a1*a3**-1	a3*a0*a5**-1*a4*a2**-1	True	False
169	a2*a0**-1*a2*a3*a0*a2**-1	a2*a0**-1*a2*a5*a3**-1	True	False
170	a2*a0**-1*a2*a3*a0*a2**-1	a2*a0**-1*a3*a5*a3**-1	True	False
171	a3*a0*a5*a3**-1	a3*a0**3*a2**-1	False	False
172	a3*a0**2*a5**2*a3**-1	a3*a0**3*a2**-1	False	False
173	a3*a0*a5*a3**-1	a3*a0**2*a5*a2**-1	False	False
174	a3*a0**2*a5**2*a3**-1	a3*a0**2*a5*a2**-1	False	False
175	a3*a4**-1*a0*a5*a3**-1*a4	a3*a4**-1*a0*a1*a2**-1	True	False
176	a3*a5**-1*a1*a4*a5*a3**-1	a3*a0*a5**-1*a1*a2**-1	True	False
177	a3*a5**-1*a2*a3*a5*a3**-1	a3*a5**-1*a2*a0*a2**-1	True	False
178	a3*a5**-1*a2*a3*a5*a3**-1	a3*a5**-1*a3*a0*a2**-1	True	False
179	a3*a0*a5*a3**-1	a3*a0*a5**2*a2**-1	False	False
180	a3*a0**2*a5**2*a3**-1	a3*a0*a5**2*a2**-1	False	False
181	a1**-1*a2*a3*a1	a1**-1*a2*a3**2*a4	False	False
182	a1**-1*a2**2*a3**2*a1	a1**-1*a2*a3**2*a4	False	False
183	a1**-1*a2*a4*a1**2*a2**-1	a1**-1*a2*a3**-1*a4**2	True	False
184	a1**-1*a2*a0*a5*a1*a2**-1	a1**-1*a2*a4*a5*a3**-1	True	False
185	a3*a4**-1*a2*a4	a3**2*a4**-1*a1*a2**-1	True	False
186	a3**2*a4**-1*a2**2*a4	a3**2*a4**-1*a1*a2**-1	False	False
187	a3*a4**-1*a0*a5*a3**-1*a4	a3*a4**-1*a5*a1*a2**-1	True	False
188	a1**-2*a2*a3*a1**2	a1**-2*a2*a4**2	True	False
189	a3*a4**-1*a1*a3**-1*a4**2	a3*a4**-1*a1**2*a2**-1	True	False
190	a1**-1*a3**-1*a1*a3*a4*a1	a1**-1*a2*a3**-1*a1*a4	True	False
191	a4**-1*a1*a2**-1*a4*a2*a4	a4**-1*a1*a2**-1*a3*a1	True	False
192	a3*a1*a3**-1*a4	a3*a1*a4*a1*a2**-1	False	False
193	a3*a1*a4*a1*a3**-1*a4	a3*a1*a4*a1*a2**-1	False	False
194	a2*a3**-1*a0*a5*a2**-1*a3	a2*a3**-1*a0*a2*a3**-1	True	False
195	a3**-1*a1**2*a4**2*a2**-1	a2*a3**-1*a1**2*a3**-1	True	False
196	a2*a3**2*a1**-1*a4**-1*a2	a2**-1*a3**2*a1**-1*a3	True	False
197	a2*a3**-1*a1*a3*a1**-1*a3	a2*a3**-1*a1*a4**-1*a2	True	False
198	a2*a3**-1*a0*a5*a2**-1*a3	a2*a3**-1*a5*a2*a3**-1	True	False
199	a2**-1*a3*a0*a5*a2*a3**-1	a2**-1*a3*a0*a2**-1*a3	True	False
200	a2*a3**-1*a1**-1*a3*a1*a3	a2*a3**-1*a1**-1*a4*a2	True	False
201	a3*a1**2*a4**2*a2	a2**-1*a3*a1**2*a3	True	False
202	a2*a3**2*a1*a4*a2	a2**-1*a3**2*a1*a3	True	False
203	a3*a1**-1*a3*a4**-1*a2**2	a2**-1*a3*a1**-1*a3**2	True	False
204	a3*a1*a3*a4*a2**2	a2**-1*a3*a1*a3**2	True	False
205	a2*a3	a2**-1*a3**4	False	False
206	a2**2*a3**2	a2**-1*a3**4	False	False
